,ISBN,User-ID,Book-Rating
203,0020532105,222050,10
204,0020532105,237748,6
205,0020532105,278194,10
206,002542730X,8019,9
207,002542730X,10030,7
208,002542730X,11676,6
209,002542730X,12538,10
210,002542730X,16996,8
211,002542730X,41084,7
212,002542730X,52584,10
213,002542730X,71712,6
214,002542730X,80538,7
215,002542730X,86243,7
216,002542730X,89551,10
217,002542730X,92215,7
218,002542730X,104058,5
219,002542730X,105108,10
220,002542730X,106078,10
221,002542730X,110934,6
222,002542730X,113270,5
223,002542730X,113752,10
224,002542730X,119725,6
225,002542730X,128835,8
226,002542730X,150979,8
227,002542730X,152946,8
228,002542730X,154021,8
229,002542730X,160393,10
230,002542730X,164096,8
231,002542730X,165582,5
232,002542730X,171602,6
233,002542730X,173291,7
234,002542730X,174216,5
235,002542730X,174615,7
236,002542730X,175117,6
237,002542730X,179734,10
238,002542730X,183995,10
239,002542730X,194514,9
240,002542730X,202963,10
241,002542730X,208671,7
242,002542730X,209516,9
243,002542730X,213760,9
244,002542730X,225763,7
245,002542730X,229741,7
246,002542730X,234597,7
247,002542730X,235498,7
248,002542730X,236399,10
249,002542730X,243720,5
250,002542730X,244277,8
251,002542730X,247918,10
252,002542730X,259264,7
253,002542730X,262902,6
254,002542730X,269566,7
255,002542730X,274983,10
256,002542730X,277427,10
257,002542730X,277623,5
258,0028604199,7346,8
259,0028604199,28543,7
260,0028604199,52584,10
261,0028604199,59656,8
262,0028604199,76223,8
263,0028604199,78973,9
264,0028604199,82808,8
265,0028604199,92215,6
266,0028604199,104550,5
267,0028604199,105108,10
268,0028604199,113752,10
269,0028604199,116395,5
270,0028604199,135703,9
271,0028604199,139287,8
272,0028604199,143134,6
273,0028604199,150979,7
274,0028604199,152946,7
275,0028604199,155147,6
276,0028604199,247166,7
277,0028604199,249894,9
278,0028604199,250300,6
279,0028604199,266466,9
280,0028604199,268833,5
281,0028604199,277623,9
282,0028604202,23571,8
283,0028604202,46461,6
284,0028604202,52584,10
285,0028604202,113904,7
286,0028604202,125519,8
287,0028604202,128835,9
288,0028604202,196160,8
289,0028604202,249894,9
290,0028604202,251843,10
291,0028604202,259264,7
292,0060001453,37208,7
293,0060001453,98391,9
294,0060001453,105968,5
295,0060001453,107784,5
296,0060001453,176214,6
297,0060001453,176667,10
298,0060001453,182085,10
299,0060001453,261998,7
300,0060001453,269321,8
301,0060002050,37208,7
302,0060002050,82497,8
303,0060002050,98391,8
304,0060002050,114368,5
305,0060002050,121606,6
306,0060002050,134797,8
307,0060002050,160378,7
308,0060002050,176214,5
309,0060002050,182086,10
310,0060002050,242006,10
311,0060002050,244685,8
312,0060002050,265889,8
313,0060002069,28591,8
314,0060002069,36299,8
315,0060002069,98391,8
316,0060002069,249058,3
317,0060002069,258185,8
318,0060002069,261998,7
319,0060002069,267538,7
320,0060002492,11676,5
321,0060002492,68249,8
322,0060002492,94376,4
323,0060002492,112914,7
324,0060002492,117092,8
325,0060002492,135149,9
326,0060002492,199515,9
327,0060002492,278137,7
328,006000438X,4017,10
329,006000438X,6242,6
330,006000438X,6575,9
331,006000438X,8454,8
332,006000438X,10560,8
333,006000438X,11676,6
334,006000438X,17003,6
335,006000438X,75119,10
336,006000438X,89602,5
337,006000438X,104113,10
338,006000438X,115435,9
339,006000438X,124747,10
340,006000438X,135411,4
341,006000438X,143011,7
342,006000438X,143715,6
343,006000438X,147678,8
344,006000438X,148258,6
345,006000438X,149908,8
346,006000438X,156163,10
347,006000438X,201042,7
348,006000438X,203044,8
349,006000438X,220586,8
350,006000438X,224349,9
351,006000438X,239279,7
352,006000438X,259626,4
353,006000438X,263877,8
354,006000438X,270863,7
355,0060005424,11676,10
356,0060005424,25919,9
357,0060005424,86202,8
358,0060005424,104657,9
359,0060005424,112001,10
360,0060005424,165073,8
361,0060005424,209464,9
362,0060005424,223814,7
363,0060005424,236595,8
364,0060007192,76626,9
365,0060007192,126604,7
366,0060007192,165758,5
367,0060007192,240403,10
368,0060007192,240700,6
369,0060007192,254859,10
370,0060007192,276463,10
371,0060007788,11676,9
372,0060007788,27947,7
373,0060007788,31343,8
374,0060007788,59559,8
375,0060007788,114258,8
376,0060007788,145861,8
377,0060007788,181691,10
378,0060008024,29526,10
379,0060008024,51350,8
380,0060008024,71207,6
381,0060008024,228313,8
382,0060008024,252573,10
383,0060008024,266697,10
384,0060008032,11676,8
385,0060008032,41245,8
386,0060008032,44845,9
387,0060008032,50504,5
388,0060008032,81682,9
389,0060008032,83646,6
390,0060008032,89913,7
391,0060008032,93426,8
392,0060008032,98787,7
393,0060008032,102668,8
394,0060008032,104311,8
395,0060008032,126296,8
396,0060008032,131402,8
397,0060008032,135149,7
398,0060008032,142715,2
399,0060008032,150471,10
400,0060008032,151043,7
401,0060008032,165308,8
402,0060008032,205980,7
403,0060008032,207616,7
404,0060008032,227836,9
405,0060008032,251844,7
406,0060008032,265115,6
407,0060008032,265889,8
408,0060008032,267510,10
409,0060008032,271705,8
410,0060008776,42410,5
411,0060008776,75762,7
412,0060008776,98159,7
413,0060008776,101606,8
414,0060008776,114007,9
415,0060008776,198767,8
416,0060008776,217318,5
417,0060008776,249150,7
418,0060008776,259542,7
419,0060008776,261829,8
420,0060008776,271306,9
421,006001203X,13552,5
422,006001203X,16795,8
423,006001203X,31315,9
424,006001203X,56663,5
425,006001203X,60412,5
426,006001203X,61854,8
427,006001203X,66789,5
428,006001203X,69405,8
429,006001203X,131046,6
430,006001203X,162030,8
431,006001203X,182746,10
432,006001203X,227467,5
433,006001203X,235282,8
434,006001203X,242106,10
435,006001203X,242143,9
436,006001203X,243930,10
437,006001203X,267648,8
438,0060012781,11676,8
439,0060012781,58792,9
440,0060012781,64436,8
441,0060012781,99441,9
442,0060012781,110361,8
443,0060012781,123460,9
444,0060012781,130705,9
445,0060012781,135703,10
446,0060012781,224430,8
447,0060012781,243328,10
448,0060013125,75096,8
449,0060013125,76626,8
450,0060013125,104812,10
451,0060013125,131855,9
452,0060013125,156584,9
453,0060013125,158226,9
454,0060013125,254899,8
455,0060080841,85043,8
456,0060080841,123790,9
457,0060080841,166922,8
458,0060080841,169233,8
459,0060080841,181691,6
460,0060080841,197775,9
461,0060080841,198213,9
462,0060080841,202277,7
463,0060080841,216466,8
464,0060080841,249894,7
465,0060081961,6575,8
466,0060081961,39705,7
467,0060081961,52584,9
468,0060081961,150067,7
469,0060081961,246311,8
470,0060083298,595,9
471,0060083298,8245,7
472,0060083298,40914,8
473,0060083298,108799,7
474,0060083298,135149,7
475,0060083298,155219,8
476,0060083298,206567,8
477,0060083298,241666,7
478,0060083298,247447,9
479,0060083298,266056,8
480,0060083948,40415,2
481,0060083948,50681,8
482,0060083948,69378,7
483,0060083948,119027,9
484,0060083948,124487,9
485,0060083948,163194,5
486,0060083948,187574,5
487,0060083948,214786,8
488,0060083948,241198,7
489,0060083948,242299,6
490,0060083948,267635,10
491,0060083948,276369,5
492,0060084405,10314,9
493,0060084405,25409,9
494,0060084405,60244,8
495,0060084405,99032,8
496,0060084405,173111,8
497,0060084405,197410,8
498,0060084405,232959,8
499,0060084405,248749,10
500,0060085444,6563,6
501,0060085444,13552,7
502,0060085444,26516,8
503,0060085444,75701,9
504,0060085444,91647,6
505,0060085444,117251,8
506,0060085444,144531,7
507,0060085444,148712,8
508,0060085444,149934,6
509,0060085444,182993,8
510,0060085444,191803,5
511,0060085444,207148,7
512,0060085444,258185,7
513,0060085444,265889,6
514,0060085444,276165,9
515,0060085452,11676,7
516,0060085452,13552,7
517,0060085452,35320,8
518,0060085452,51350,8
519,0060085452,87938,6
520,0060085452,114581,10
521,0060085452,123143,9
522,0060085452,127359,8
523,0060085452,133689,9
524,0060085452,136348,7
525,0060085452,155219,7
526,0060085452,159822,8
527,0060085452,161974,8
528,0060085452,165308,8
529,0060085452,177233,10
530,0060085452,182993,7
531,0060085452,226545,9
532,0060085452,229551,10
533,0060085452,246507,7
534,0060085452,258185,10
535,0060086246,4221,9
536,0060086246,66100,9
537,0060086246,66443,7
538,0060086246,89913,8
539,0060086246,93426,7
540,0060086246,96679,10
541,0060086246,144268,6
542,0060086246,172119,8
543,0060086246,229011,10
544,0060086246,247240,9
545,0060086246,264543,6
546,0060086246,265115,7
547,0060086246,267510,9
548,0060086386,7125,8
549,0060086386,22167,7
550,0060086386,25409,7
551,0060086386,31315,2
552,0060086386,54193,6
553,0060086386,62966,8
554,0060086386,64436,6
555,0060086386,78778,5
556,0060086386,114414,6
557,0060086386,171007,8
558,0060086386,171970,3
559,0060086386,190925,7
560,0060086386,246513,8
561,0060086386,254144,6
562,0060090367,11676,7
563,0060090367,17183,5
564,0060090367,31541,7
565,0060090367,36638,8
566,0060090367,56554,10
567,0060090367,66443,10
568,0060090367,81249,4
569,0060090367,105979,8
570,0060090367,112709,6
571,0060090367,117251,9
572,0060090367,125519,8
573,0060090367,142745,6
574,0060090367,160819,10
575,0060090367,162780,10
576,0060090367,196077,8
577,0060090367,201923,7
578,0060090367,209756,5
579,0060090367,210874,8
580,0060090367,232583,5
581,0060090367,251844,6
582,0060090367,259565,5
583,0060090375,17183,5
584,0060090375,56554,10
585,0060090375,56804,1
586,0060090375,81249,6
587,0060090375,91113,8
588,0060090375,91203,9
589,0060090375,109955,9
590,0060090375,125774,9
591,0060090375,127233,8
592,0060090375,144531,8
593,0060090375,192158,9
594,0060090375,229011,7
595,0060090375,250300,6
596,0060090383,18384,9
597,0060090383,45184,8
598,0060090383,56554,10
599,0060090383,91113,8
600,0060090383,109955,10
601,0060090383,142745,7
602,0060090383,148804,5
603,0060090383,155778,7
604,0060090383,197425,9
605,0060090383,229011,8
606,0060090383,242299,9
607,0060096195,7125,8
608,0060096195,7346,8
609,0060096195,8067,10
610,0060096195,13552,7
611,0060096195,15819,10
612,0060096195,25409,9
613,0060096195,28204,8
614,0060096195,35320,8
615,0060096195,50504,8
616,0060096195,51350,10
617,0060096195,71490,8
618,0060096195,74833,8
619,0060096195,87938,5
620,0060096195,93426,7
621,0060096195,95173,6
622,0060096195,95359,8
623,0060096195,125692,7
624,0060096195,127359,8
625,0060096195,138198,9
626,0060096195,142861,9
627,0060096195,146874,9
628,0060096195,155141,10
629,0060096195,162856,8
630,0060096195,163754,8
631,0060096195,164027,7
632,0060096195,181687,10
633,0060096195,203506,10
634,0060096195,210874,9
635,0060096195,228868,7
636,0060096195,231337,8
637,0060096195,233711,9
638,0060096195,246507,8
639,0060096195,249407,7
640,0060096195,251422,9
641,0060096195,269738,8
642,0060096195,278554,9
643,0060096209,25409,7
644,0060096209,70649,10
645,0060096209,98391,8
646,0060096209,127233,6
647,0060096209,171007,8
648,0060096209,254144,7
649,0060096209,271195,7
650,0060096209,275274,6
651,0060168013,20462,8
652,0060168013,36554,10
653,0060168013,113270,8
654,0060168013,132930,9
655,0060168013,146803,8
656,0060168013,167614,6
657,0060168013,218608,6
658,0060168013,231237,10
659,0060168013,251495,8
660,006016848X,11676,9
661,006016848X,12698,8
662,006016848X,13850,7
663,006016848X,15049,8
664,006016848X,16634,7
665,006016848X,27383,8
666,006016848X,27947,6
667,006016848X,31556,5
668,006016848X,32802,6
669,006016848X,37974,5
670,006016848X,39281,8
671,006016848X,59150,5
672,006016848X,86555,8
673,006016848X,86835,6
674,006016848X,96440,8
675,006016848X,100088,9
676,006016848X,117384,10
677,006016848X,135653,8
678,006016848X,136255,6
679,006016848X,136313,6
680,006016848X,141491,5
681,006016848X,144478,7
682,006016848X,145369,5
683,006016848X,148239,9
684,006016848X,148258,7
685,006016848X,150561,7
686,006016848X,165308,10
687,006016848X,181948,10
688,006016848X,186837,7
689,006016848X,196457,7
690,006016848X,201017,10
691,006016848X,236340,8
692,006016848X,245827,5
693,006016848X,246513,9
694,006016848X,246766,5
695,006016848X,255092,10
696,006016848X,257204,10
697,006016848X,261460,8
698,006016848X,262151,5
699,006017143X,505,9
700,006017143X,23872,10
701,006017143X,30487,8
702,006017143X,46154,6
703,006017143X,60050,9
704,006017143X,85757,7
705,006017143X,112402,10
706,006017143X,204909,8
707,006017143X,210921,8
708,006017143X,231838,10
709,0060171928,6251,8
710,0060171928,39773,8
711,0060171928,109574,7
712,0060171928,116183,8
713,0060171928,150979,8
714,0060171928,226772,8
715,0060171928,253322,5
716,0060171928,273380,6
717,0060172916,11676,7
718,0060172916,30487,8
719,0060172916,40417,9
720,0060172916,48046,7
721,0060172916,60244,8
722,0060172916,159732,6
723,0060172916,232990,10
724,0060172916,268984,10
725,0060173289,2313,9
726,0060173289,6772,7
727,0060173289,8362,8
728,0060173289,25545,7
729,0060173289,29526,10
730,0060173289,38995,10
731,0060173289,53846,8
732,0060173289,55787,9
733,0060173289,57105,8
734,0060173289,60253,10
735,0060173289,76483,9
736,0060173289,78448,8
737,0060173289,83496,5
738,0060173289,86189,5
739,0060173289,95800,5
740,0060173289,100115,9
741,0060173289,105576,7
742,0060173289,109049,5
743,0060173289,110382,8
744,0060173289,110912,9
745,0060173289,122782,6
746,0060173289,133747,7
747,0060173289,137589,9
748,0060173289,141710,10
749,0060173289,145641,7
750,0060173289,151107,2
751,0060173289,152742,10
752,0060173289,169310,6
753,0060173289,178322,5
754,0060173289,192428,9
755,0060173289,196502,6
756,0060173289,222035,5
757,0060173289,222353,9
758,0060173289,224626,10
759,0060173289,240219,10
760,0060173289,276050,9
761,0060173289,278843,9
762,0060175400,4622,10
763,0060175400,7509,8
764,0060175400,11676,10
765,0060175400,18176,5
766,0060175400,21014,7
767,0060175400,38995,10
768,0060175400,53414,10
769,0060175400,55187,8
770,0060175400,69078,7
771,0060175400,76458,4
772,0060175400,95359,9
773,0060175400,100459,10
774,0060175400,105214,9
775,0060175400,105576,9
776,0060175400,110912,10
777,0060175400,127049,10
778,0060175400,130571,8
779,0060175400,138578,9
780,0060175400,141047,10
781,0060175400,142134,9
782,0060175400,145737,10
783,0060175400,146803,7
784,0060175400,147045,10
785,0060175400,150979,9
786,0060175400,154981,7
787,0060175400,167614,10
788,0060175400,173343,9
789,0060175400,185087,10
790,0060175400,193412,9
791,0060175400,194639,8
792,0060175400,201677,6
793,0060175400,205473,9
794,0060175400,209631,9
795,0060175400,210077,5
796,0060175400,232990,9
797,0060175400,237486,7
798,0060175400,238541,7
799,0060175400,245925,10
800,0060175400,272786,8
801,0060175818,18096,9
802,0060175818,42573,8
803,0060175818,88652,10
804,0060175818,128835,8
805,0060175818,156269,7
806,0060175818,207499,6
807,0060175818,226965,10
808,0060175818,252695,8
809,0060175966,4017,9
810,0060175966,43004,8
811,0060175966,52175,9
812,0060175966,60517,5
813,0060175966,69078,8
814,0060175966,70594,9
815,0060175966,86408,9
816,0060175966,89602,7
817,0060175966,95173,5
818,0060175966,100906,10
819,0060175966,101305,8
820,0060175966,114988,7
821,0060175966,115003,9
822,0060175966,158361,9
823,0060175966,178322,8
824,0060175966,204864,9
825,0060175966,218068,8
826,0060175966,231237,10
827,0060175966,239626,10
828,0060175966,249140,8
829,0060175966,256874,8
830,0060176806,66680,5
831,0060176806,91002,8
832,0060176806,152354,9
833,0060176806,169057,9
834,0060176806,189835,5
835,0060176806,190844,5
836,0060176806,203401,6
837,0060177888,6251,9
838,0060177888,17950,8
839,0060177888,31826,10
840,0060177888,132188,5
841,0060177888,134900,9
842,0060184957,11676,8
843,0060184957,65208,8
844,0060184957,91113,8
845,0060184957,122429,5
846,0060184957,127233,8
847,0060184957,140863,6
848,0060184957,150896,8
849,0060184957,168954,7
850,0060184957,260897,6
851,0060184957,274656,8
852,0060185074,11676,5
853,0060185074,53220,9
854,0060185074,104243,7
855,0060185074,170762,10
856,0060185074,172742,10
857,0060185147,60287,7
858,0060185147,98391,9
859,0060185147,209932,8
860,0060185147,235105,9
861,0060188731,10447,9
862,0060188731,11676,6
863,0060188731,19503,7
864,0060188731,20462,10
865,0060188731,35845,8
866,0060188731,61704,10
867,0060188731,64435,9
868,0060188731,69078,7
869,0060188731,69378,7
870,0060188731,70493,8
871,0060188731,87108,2
872,0060188731,103871,6
873,0060188731,117873,9
874,0060188731,136193,8
875,0060188731,136348,8
876,0060188731,159860,5
877,0060188731,168763,8
878,0060188731,173343,9
879,0060188731,173415,10
880,0060188731,178201,6
881,0060188731,219593,8
882,0060188731,238057,6
883,0060188731,245311,7
884,0060188731,246311,10
885,0060188731,251613,5
886,0060188731,270554,9
887,0060188731,270737,8
888,0060191538,16795,6
889,0060191538,130474,5
890,0060191538,150587,9
891,0060191538,187990,5
892,0060191538,194172,7
893,0060191538,195965,8
894,0060191538,258240,10
895,0060191538,276291,8
896,0060191988,2030,10
897,0060191988,11676,7
898,0060191988,113364,5
899,0060191988,113904,7
900,0060191988,123883,5
901,0060191988,142680,3
902,0060191988,186570,1
903,0060191988,188799,9
904,0060191988,203075,7
905,0060191988,210738,8
906,0060191988,248477,7
907,0060191988,264525,10
908,0060192119,3923,7
909,0060192119,11676,10
910,0060192119,52887,10
911,0060192119,68846,8
912,0060192119,89602,8
913,0060192119,95903,9
914,0060192119,148258,8
915,0060192119,148620,7
916,0060192119,183088,5
917,0060192119,206534,9
918,0060192119,208112,8
919,0060192119,211344,8
920,0060192119,264082,8
921,0060192119,274549,8
922,0060192704,16795,8
923,0060192704,69389,7
924,0060192704,70666,5
925,0060192704,89014,9
926,0060192704,92652,7
927,0060192704,138578,10
928,0060192704,138844,8
929,0060192704,181076,7
930,0060192704,225066,5
931,0060192704,229551,10
932,0060193395,6431,9
933,0060193395,14638,7
934,0060193395,34115,6
935,0060193395,108773,7
936,0060193395,153662,5
937,0060193395,172203,5
938,0060193395,184121,8
939,0060193395,184299,10
940,0060193395,189334,10
941,0060193395,191716,8
942,0060193395,240035,5
943,0060193395,241980,9
944,006019443X,11676,8
945,006019443X,33656,5
946,006019443X,62457,8
947,006019443X,70594,8
948,006019443X,104569,5
949,006019443X,146345,8
950,006019443X,156214,10
951,006019443X,157187,5
952,006019443X,235105,9
953,006019443X,271587,10
954,0060194448,11676,7
955,0060194448,27740,8
956,0060194448,31556,7
957,0060194448,38081,8
958,0060194448,42573,8
959,0060194448,83239,9
960,0060194448,88733,9
961,0060194448,128835,6
962,0060194448,130482,8
963,0060194448,146083,9
964,0060194448,189235,8
965,0060194448,196621,6
966,0060194448,209932,8
967,0060194448,235105,9
968,0060194448,240484,8
969,0060194790,11657,5
970,0060194790,15408,7
971,0060194790,80820,5
972,0060194790,90517,7
973,0060194790,92861,5
974,0060194790,189392,9
975,0060194790,191638,9
976,0060194790,223087,7
977,0060194790,223431,8
978,0060194790,224923,6
979,006019491X,11676,10
980,006019491X,20627,9
981,006019491X,37712,9
982,006019491X,39646,6
983,006019491X,40838,7
984,006019491X,49313,10
985,006019491X,69078,9
986,006019491X,77809,10
987,006019491X,108773,10
988,006019491X,116931,8
989,006019491X,124946,7
990,006019491X,126360,7
991,006019491X,136071,9
992,006019491X,142256,8
993,006019491X,168763,9
994,006019491X,170499,7
995,006019491X,174326,8
996,006019491X,178920,10
997,006019491X,201677,9
998,006019491X,207616,7
999,006019491X,218552,5
1000,006019491X,248464,10
1001,006019491X,250184,8
1002,0060195703,11676,10
1003,0060195703,55421,7
1004,0060195703,98391,8
1005,0060195703,184513,7
1006,0060195703,245650,8
1007,0060195703,270339,5
1008,0060196092,42323,8
1009,0060196092,49771,10
1010,0060196092,52002,10
1011,0060196092,182527,6
1012,0060196092,195965,8
1013,0060196092,204455,7
1014,0060196092,207616,8
1015,0060196092,213839,6
1016,0060196092,223927,7
1017,0060196092,254053,3
1018,0060196122,36003,9
1019,0060196122,87929,7
1020,0060196122,112765,7
1021,0060196122,115003,7
1022,0060196122,158254,7
1023,0060196122,186762,6
1024,0060196122,253871,10
1025,0060198125,8250,7
1026,0060198125,21011,9
1027,0060198125,23768,5
1028,0060198125,119671,7
1029,0060198125,130571,6
1030,0060198125,136139,9
1031,0060198125,194600,8
1032,0060198125,200226,6
1033,0060198125,201290,10
1034,0060198125,212142,7
1035,0060198125,243951,4
1036,0060198133,6575,8
1037,0060198133,10447,8
1038,0060198133,11676,7
1039,0060198133,23902,9
1040,0060198133,24846,9
1041,0060198133,31846,8
1042,0060198133,52853,8
1043,0060198133,87108,10
1044,0060198133,91058,8
1045,0060198133,93046,7
1046,0060198133,121592,8
1047,0060198133,154730,4
1048,0060198133,187931,7
1049,0060198133,190422,7
1050,0060198133,194877,8
1051,0060198133,201677,7
1052,0060198133,210317,5
1053,0060198133,224349,8
1054,0060198133,225435,7
1055,0060198346,21356,3
1056,0060198346,31315,10
1057,0060198346,49313,6
1058,0060198346,55751,5
1059,0060198346,81672,4
1060,0060198346,123867,8
1061,0060198346,149069,10
1062,0060198346,178522,5
1063,0060198346,262317,8
1064,0060198346,278202,3
1065,006019958X,26487,10
1066,006019958X,181687,8
1067,006019958X,221262,9
1068,006019958X,247855,5
1069,0060199652,6563,8
1070,0060199652,8245,6
1071,0060199652,11676,10
1072,0060199652,13221,9
1073,0060199652,24433,8
1074,0060199652,24878,7
1075,0060199652,26057,8
1076,0060199652,28177,6
1077,0060199652,29526,10
1078,0060199652,32087,7
1079,0060199652,36554,10
1080,0060199652,48046,10
1081,0060199652,54283,10
1082,0060199652,55187,10
1083,0060199652,55787,6
1084,0060199652,69078,8
1085,0060199652,80826,8
1086,0060199652,88693,9
1087,0060199652,95907,7
1088,0060199652,100459,8
1089,0060199652,110912,9
1090,0060199652,111174,10
1091,0060199652,116904,10
1092,0060199652,138647,10
1093,0060199652,140947,9
1094,0060199652,142524,9
1095,0060199652,159817,10
1096,0060199652,161880,6
1097,0060199652,176903,9
1098,0060199652,201923,10
1099,0060199652,219065,8
1100,0060199652,229703,8
1101,0060199652,236757,4
1102,0060199652,242299,9
1103,0060248025,2033,10
1104,0060248025,8681,9
1105,0060248025,30735,9
1106,0060248025,36606,10
1107,0060248025,36807,10
1108,0060248025,50859,9
1109,0060248025,69078,8
1110,0060248025,77772,7
1111,0060248025,85367,10
1112,0060248025,98741,10
1113,0060248025,105979,5
1114,0060248025,129716,10
1115,0060248025,131027,7
1116,0060248025,138602,10
1117,0060248025,149069,10
1118,0060248025,182053,10
1119,0060248025,197659,8
1120,0060248025,201783,7
1121,0060248025,208671,8
1122,0060248025,212260,10
1123,0060248025,218875,8
1124,0060248025,238639,8
1125,0060248025,242309,5
1126,0060248025,249894,10
1127,0060248025,265383,10
1128,0060248025,270897,10
1129,0060256656,29259,10
1130,0060256656,69078,8
1131,0060256656,118533,10
1132,0060256656,129716,10
1133,0060256656,143253,10
1134,0060256656,156150,10
1135,0060256656,179978,10
1136,0060256656,182053,10
1137,0060256656,197659,10
1138,0060256656,203075,10
1139,0060256656,205735,10
1140,0060256656,211426,10
1141,0060256656,249894,9
1142,0060256656,265313,10
1143,0060256656,266865,10
1144,0060256672,805,10
1145,0060256672,11676,8
1146,0060256672,38034,10
1147,0060256672,59269,10
1148,0060256672,69078,9
1149,0060256672,76499,10
1150,0060256672,78834,10
